MATCH_OPTAUUID,MATCH_DATE,TEAM_OPTAUUID,GOALS,GOALS_AGAINST,CONTESTANTHOME_OPTAUUID,CONTESTANTAWAY_OPTAUUID,TOTALSCORINGATT,ONTARGETSCORINGATT,SHOTOFFTARGET,BLOCKEDSCORINGATT,SUBSGOALS,TOTALPASS,ACCURATEPASS,POSSESSIONPERCENTAGE,WONCORNERS,LOSTCORNERS,TOTALTACKLE,WONTACKLE,TOTALCLEARANCE,OUTFIELDERBLOCK,FKFOULWON,FKFOULLOST,SAVES,GOALSCONCEDED,CLEANSHEET,EXPECTEDGOALS,PPDA,OFFENSIV_INDEX,DEFENSIV_INDEX
ccl2n1oaes1o45ozz0gvms7bo,2026-09-19,1uovb0izovmuzdhoq7eyk3ou3,1,1,1uovb0izovmuzdhoq7eyk3ou3,f1h34qp5zbfl489q8vnkhiq9s,15,5,7,3,0,329,236,38.0,5,9,14,12,30,0,12,11,2,1,0,1.8565,12.0,14.5,18.0
ccl2n1oaes1o45ozz0gvms7bo,2026-09-19,f1h34qp5zbfl489q8vnkhiq9s,1,1,1uovb0izovmuzdhoq7eyk3ou3,f1h34qp5zbfl489q8vnkhiq9s,12,2,6,4,0,523,420,62.0,9,5,17,13,8,0,11,12,2,1,0,1.7564,14.0,13.8,17.2
c5knn25ctlotd8ltto183dmhg,2026-08-30,aqtkb4mgrz8c6iqfufj6qjbv9b2vft81,1,1,aqtkb4mgrz8c6iqfufj6qjbv9b2vft81,kyjurzbmekvgrqwr642,12,4,6,2,0,477,390,47.0,4,5,16,11,23,0,9,17,3,1,0,2.0421,15.0,16.8,19.0
c5knn25ctlotd8ltto183dmhg,2026-08-30,kyjurzbmekvgrqwr642,1,1,aqtkb4mgrz8c6iqfufj6qjbv9b2vft81,kyjurzbmekvgrqwr642,9,5,3,1,0,541,446,53.0,5,4,14,10,20,0,17,9,1,1,0,1.4145,16.2,14.5,20.5
c3qmr0ymxskd8wfxmwghnhfys,2026-08-23,8cfkisxf1fkxdqtt6tx1tup48b8oqg,2,2,8cfkisxf1fkxdqtt6tx1tup48b8oqg,ijeyn6y1cn6929ix4,14,4,9,1,0,538,439,55.0,5,7,13,10,19,0,10,20,3,2,0,2.2762,14.0,17.5,18.5
c3qmr0ymxskd8wfxmwghnhfys,2026-08-23,ijeyn6y1cn6929ix4,2,2,8cfkisxf1fkxdqtt6tx1tup48b8oqg,ijeyn6y1cn6929ix4,22,5,10,7,0,432,345,45.0,7,5,10,7,24,0,20,10,2,2,0,2.8422,15.5,18.2,17.8
