NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Andreas Troelsen,Defender,SønderjyskE U19,672555,1696bmkwmf5f2ssnw2cq7uga7yd5g,1305,
Andreas Uhre Kristensen,Midfielder,Esbjerg II,23735,767229,328,dyjr458hcmrcy87fsabfsy87o
Andreas Vilberg,Forward,BK Frem 1886,872527,,43319,
Andres Jasson,Forward,AaB,534982,8bi1tlz62rjwyak4pnnzgp562,328,dyjr458hcmrcy87fsabfsy87o
Andrew Hjulsager,Midfielder,Vejle Boldklub,135113,1d2fpmtdglpqwyhnc657n77it,335,29actv1ohj8r10kd9hu0jnb0n
Andrew Oseni,Forward,Hellerup IK,504547,,329,
Andrè Escobar Jensen,Midfielder,Brøndby U19,23734,768852,1305,
André Römer,Midfielder,Randers FC,212662,,335,29actv1ohj8r10kd9hu0jnb0n
Angelo Nehme,Midfielder,Thisted FC,621855,9tdl50o579ut0oj2eec0dprtg,1305,
Anosike Victor Ementa,Forward,Viborg FF,509152,33955m27f84vvraap8bmfujt1qiok,328,dyjr458hcmrcy87fsabfsy87o
Anssi Tapio Suhonen,Midfielder,OB,476411,,335,29actv1ohj8r10kd9hu0jnb0n
Anton Barlach,Midfielder,Vanløse IF,577610,,43319,
Anton Brems,Forward,Silkeborg U19,23736,9323522n4w77c099dyp51f44djz50tm,1305,
Anton Dall Collatz,Defender,Randers U19,23737,915798,1305,
Anton Fog Mikkelsen,Goalkeeper,Lyngby Boldklub Under 19,1226106,cgr5v8ztn76pqb09xcl767h79,1305,
Anton Hannibal Boye,Defender,B 93 U19,39782,9423725jyv1dctfxa6335l1mlifwavo,329,
Anton Karimi Mandrup,Defender,AC Horsens Under 19,761114,9ik2uhlguua62ftde1gbv1dlg,328,dyjr458hcmrcy87fsabfsy87o
Anton Kjærgaard,Defender,Kolding IF Under 19,849682,cl4xl80n4gew1ox03r3ooshrd,328,dyjr458hcmrcy87fsabfsy87o
Anton Klaster,Defender,Vejle Boldklub Under 19,765985,72xwxwrmurgeec8183lrcgo44,1305,
Anton Mayland,Goalkeeper,Lyngby,685609,55qsxtqivxajkxmpdeyccus5w,1305,
Anton Peters,Midfielder,Hellerup IK U19,766628,f0zavvz5xl62afoulc9ho019m,329,
Anton Skipper Hendriksen,Defender,Esbjerg,476350,,328,dyjr458hcmrcy87fsabfsy87o
Anton Wepia Christiansen,Midfielder,Brøndby U19,23734,1056535,1305,
Antonio Lawrence Javany,Forward,BK Frem 1886,849896,,43319,
Ari Leifsson,Defender,Kolding,375596,dqssvdpt2iwg8qn9wto3miind,328,dyjr458hcmrcy87fsabfsy87o
Ari Olsen,Defender,Vendsyssel FF,345894,eio7c1yr3ax6phyvlfbxb0k45,329,
Aris Vaporakis,Goalkeeper,B 93,279693,9y3vs6l0mjj38z0kw062jlh3p,328,dyjr458hcmrcy87fsabfsy87o
Arlet Junior Zé,Forward,FC Midtjylland,789272,,335,29actv1ohj8r10kd9hu0jnb0n
Arman Taranis,Forward,Ringkøbing IF,674145,0166m031ocyfq011rual3olkegdm,329,
Arnold Adu Boahen,Defender,AC Horsens Under 19,1302661,,1305,
Arthur Brøgger Thygesen,Midfielder,IF Lyseng,751648,,43319,
Asbjørn Bøndergaard,Forward,Lyngby,607738,aszp26w7k6ycpwmcpvfteov84,1305,
Asger Frederiksen,Defender,Hobro IK Under 19,769282,cty7nsrs5yn785m330c2gbwq2,1305,
Asger Bust Sørensen,Midfielder,Hobro,372288,,328,dyjr458hcmrcy87fsabfsy87o
Asger Danelund Hemmingsen,Midfielder,BK Frem 1886,846638,,43319,
Asger Søgaard,Midfielder,Næstved BK,747696,1227cflwegqpzch8y30pb3dhigqnd,329,
Aske Bang Christensen,Defender,FC København Under 19,769124,,1305,
Aske Leth Andresen,Goalkeeper,Silkeborg IF,624770,,335,29actv1ohj8r10kd9hu0jnb0n
Aske Storm Rasmussen,Goalkeeper,Farum Boldklub Under 15,868832,v5l81gxg2i8p5imhugkqiexg,1305,
Asker Beck Jensen,Midfielder,Viborg FF,579416,,1305,
August Bille,Defender,Vanløse IF,1255837,abaapwjdtbk2vmdv69v49fyms,43319,
August Bryld,Midfielder,Hobro,679843,izewe5fthjad6hv14xgpm3v8,328,dyjr458hcmrcy87fsabfsy87o
August Emil Skyttehave Rytter,Midfielder,FC Midtjylland Under 19,831736,,1305,
August Gyldenløve-Lyebalk,Midfielder,Thisted FC,1311275,,329,
August Kamarin Wagner,Midfielder,Hellerup IK U19,825868,m9wipuvmznt3r8yie8en7i1g,329,
August Krogh Skovgaard,Forward,IF Lyseng Under 19,813151,cimgdip8em45rbnjq5fwlrx90,1305,
August Vendelbo Lærkebjerg,Defender,Næstved BK,812545,,329,
August Østergaard Andersen,Midfielder,Holbæk Bold - & Idrætsforening,681351,,329,
Aurélio Gabriel Ulineia Buta,Defender,FC København,284718,,335,29actv1ohj8r10kd9hu0jnb0n
Axel Larsen,Defender,Brabrand IF,1226050,hs41rtcymn2opk4ban2pxh5g,329,
Axel Villads Bertelsen,Forward,FC Nordsjælland U21,20156,688605bt60l7nmko7mitn9lab3z54pg,1305,
Axel Wagner Mortensen,Goalkeeper,Brøndby U19,23734,927146eas91my7qw7etoha5plxfk9yi,1305,
Ayo Simon Okosun,Midfielder,Hvidovre,224185,a7eramyy1bd8msxmg84ctc8ut,328,dyjr458hcmrcy87fsabfsy87o
Baptiste Rolland,Defender,Aarhus Fremad,626392,,1305,
Bardhec Bytyqi,Midfielder,,442100,a5ah5r5vl0pjgt655lc5qqvop,329,
Bartosz Slisz,Midfielder,Brøndby IF,387566,,335,29actv1ohj8r10kd9hu0jnb0n
Basem Alkhoudari,Midfielder,HB Køge,707005,6orujbbswf771s9rv0dcd8kd0,328,dyjr458hcmrcy87fsabfsy87o
Bastian Andersen,Forward,VSK Århus,766597,xd4gm9uiq807dri1gs3ltclw,329,
Bastian Kruse,Defender,Ishøj IF,683040,,329,
Bastian Lykkegaard Holm,Goalkeeper,Silkeborg IF,682958,g2cgdv428rmpmb0om40ldses,1305,
Batuhan Zidan Sertdemir,Midfielder,,2498619,9906rd6a2f1k124dzp1p904yq3h0,1305,
Behram Bagci,Midfielder,Lyngby Boldklub Under 17,955883,,1305,
Behrem Rizvic,Midfielder,Vejgaard Boldspilklub,347361,,329,
Ben Godfrey,Defender,Brøndby IF,12379,,335,29actv1ohj8r10kd9hu0jnb0n
Benedikt Tristan Axelsson,Forward,Vejgaard Boldspilklub,599993,,43319,
Benicio Christian Pená,Goalkeeper,SønderjyskE,577587,9zx0qi6gbfnvt6wwpkgprhy50,335,29actv1ohj8r10kd9hu0jnb0n
Benjamin Nicolaisen,Midfielder,,2714191,55822o5wwfsh5xhyatdfelh9dzqax,1305,
Benjamin Asare,Goalkeeper,Ishøj IF,1209351,980b6b79t33imis1qh620p3is,329,
Benjamin Bruhn Rasmussen,Goalkeeper,Sønderjyske Under 19,680197,,,335,29actv1ohj8r10kd9hu0jnb0n
Benjamin Dela Hounou Clemmensen,Defender,Vendsyssel FF,764620,as7qhgi67gngq0nb3zmwg8jro,335,29actv1ohj8r10kd9hu0jnb0n
Benjamin Göddert,Defender,Ishøj IF,1224424,,,329,
Benjamin Hvidt,Midfielder,Esbjerg,434294,4yyiv4t6irqpeayug5qgvmkmh,1305,
Benjamin Høier Olsen,Goalkeeper,,3057476,4672,329,
Benjamin Juel-Berg,Defender,Sundby BK,514803,,,329,
Benjamin Kold,Forward,Nykøbing FC,625214,eh7ylngk6zptrar9s7t65zfh0,1305,
Benjamin Kring Suner,Midfielder,Odder IGF,683092,,,329,
Benjamin Martens Meibom,Defender,Frederiksberg Alliancen 2000,611822,,,43319,
Benjamin Pihl Jørgensen,Forward,Aalborg BK Under 19,760805,,,1305,
Benjamin Schubert,Goalkeeper,Skive IK,496176,9ns0pt60vs9qk56qvqpmi33zd,329,
Benjamin Stelman,Defender,Vejle Boldklub Under 17,861957,,,1305,
Benjamin Tahirović,Midfielder,Brøndby IF,675998,d2itdjj8bx0aztqggfgv7amay,335,29actv1ohj8r10kd9hu0jnb0n
Benjamin Tiedemann Hansen,Defender,AaB,258617,,,329,
Benjamin Zjajo,Midfielder,Middelfart,449390,amfro1vgaqpdg569xjk2h28ve,43319,
Benjamin Örn,Defender,Randers FC,615566,,,335,29actv1ohj8r10kd9hu0jnb0n
Berkant Bayrak,Goalkeeper,HB Køge,639557,dqqswfn9s1tdxjoslts8ks6xg,328,dyjr458hcmrcy87fsabfsy87o
Berkay Mirac Sahin,Midfielder,Vanløse IF,577508,ckcs27y9766y7yp5pr1zaea5l,329,
Berthram Sommer,Goalkeeper,IF Lyseng Under 19,765193,77ukg02lmfn6r70xfkw9607op,43319,
Bertil Magne Grønkjær Pedersen,Goalkeeper,AaB,746626,,,328,dyjr458hcmrcy87fsabfsy87o
Bertram Møller Damgaard,Midfielder,Aalborg BK Under 17,1008191,,,335,29actv1ohj8r10kd9hu0jnb0n
