NAVN,POSITION,KLUB,PLAYER_WYID,PLAYER_OPTAUUID,COMPETITION_WYID,COMPETITION_OPTAUUID
Daniel Filipe Bandeira e Silva,Midfielder,,3476058,4133,335,29actv1ohj8r10kd9hu0jnb0n
Daniel Freyr Kristjansson,Defender,FC Fredericia,774207,,,1305,
Daniel Gadegaard Andersen,Goalkeeper,,7348544,923,1305,
Daniel Ingi Jóhannesson,Midfielder,,2015684,4693ej8pxizgwjx9qjacvc136yusq,1305,
Daniel Issa Amtrup,Defender,Frederiksberg Alliancen 2000,764618,,,329,
Daniel Jakobsen,Midfielder,VSK Århus,579421,hm7w2b4a6j0q3bprq118r5uy,328,dyjr458hcmrcy87fsabfsy87o
Daniel Josef Krüger Soidik,Defender,Sundby BK,449771,,,335,29actv1ohj8r10kd9hu0jnb0n
Daniel Kannerup,Goalkeeper,,2561285,8985,1305,
Daniel Lønborg Thøgersen,Defender,Skive IK,476352,bvc80w5ai425plu54nhgx5fxl,335,29actv1ohj8r10kd9hu0jnb0n
Daniel Mathias Høegh,Defender,Randers FC,56124,effgiwtme6eu08o1ninlnqqqd,335,29actv1ohj8r10kd9hu0jnb0n
Daniel Skovgaard Mortensen,Defender,BK Fremad Amager,522671,,,328,dyjr458hcmrcy87fsabfsy87o
Daniel Stenderup,Defender,Hvidovre,56017,a30gduuv9d1s4pkthgu2jhyol,328,dyjr458hcmrcy87fsabfsy87o
Daniel Warmbach,Midfielder,BK Frem 1886,500736,,,43319,
Daniel Wass,Midfielder,Brøndby IF,2665,etz3rjq7chhaomst5u28nnff9,335,29actv1ohj8r10kd9hu0jnb0n
